,VIS1,VIS2,MOT1,MOT2,DORATT2,DORATT1,VAN1,FP1,LIM1,LIM2,FP2,FP3,FP4,MOT3,DMN1,DMN3,DMN2
P5259,0.2250234931707382,0.532943069934845,0.1372176855802536,0.1766021996736526,0.1757458448410034,0.1670211851596832,0.2277940213680267,0.19910928606987,0.1756537556648254,0.2262629270553589,0.320721298456192,0.275608092546463,0.232474997639656,0.2182924300432205,0.3518119752407074,0.3302570581436157,0.14833462
P5232,0.257935881614685,0.3311734497547149,0.1641659438610077,0.1722233295440673,0.156346246600151,0.1334565430879593,0.210628941655159,0.1470357924699783,0.2071922719478607,0.1568623036146164,0.4366162419319153,0.2021507173776626,0.119367815554142,0.1592355668544769,0.3125902116298675,0.3454837203025818,0.24076085
P5235,0.2586823105812073,0.2417237758636474,0.2367901057004928,0.3147268295288086,0.2829240560531616,0.3072270154953003,0.3303979635238647,0.2944871485233307,0.3191065192222595,0.2381544262170791,0.4570182859897613,0.2245468497276306,0.2650922834873199,0.1611326336860656,0.3534348905086517,0.3764107227325439,0.35370046
P5203,0.1910813301801681,0.309038758277893,0.1428121328353881,0.263500839471817,0.1344141960144043,0.1279195994138717,0.1905911564826965,0.1810739189386367,0.363052636384964,0.2637866139411926,0.2168717086315155,0.2431457787752151,0.1381125003099441,0.192971333861351,0.2218672782182693,0.1600499898195266,0.28077483
P5258,0.3148447573184967,0.4912944436073303,0.1954164952039718,0.3445062041282654,0.2525957822799682,0.2171113938093185,0.3185947239398956,0.2135221809148788,0.1722224056720733,0.1771008223295211,0.3704674243927002,0.2476100623607635,0.1546930372714996,0.2848814725875854,0.2648777067661285,0.2776670455932617,0.23906928
P52125,0.3209202289581299,0.3379049301147461,0.3599086105823517,0.3493454754352569,0.3386385142803192,0.3272810876369476,0.3519014120101928,0.2587535977363586,0.3319363594055176,0.2332354336977005,0.3706899285316467,0.3317667841911316,0.3070973753929138,0.1814471781253814,0.2553644776344299,0.4231484532356262,0.24383064
P5260,0.2699407339096069,0.2539301514625549,0.1473104655742645,0.2742414474487304,0.1986250281333923,0.1674036830663681,0.1759756505489349,0.2556199431419372,0.379100501537323,0.2306495904922485,0.4076229631900787,0.2199203670024871,0.206401064991951,0.1872293800115585,0.3547317385673523,0.3286791741847992,0.19057125
P5205,0.2013612389564514,0.1966187208890915,0.2456375807523727,0.3394088447093963,0.2026471942663192,0.2375969141721725,0.2397705167531967,0.1797399222850799,0.4938496947288513,0.1882850229740142,0.489419549703598,0.2555068433284759,0.2907214164733886,0.2018486559391021,0.4167655408382416,0.3742978870868683,0.17804183
P5234,0.178899347782135,0.2858384251594543,0.215908020734787,0.2615589201450348,0.2240029722452163,0.2276424914598465,0.2277419418096542,0.2580190598964691,0.1907027512788772,0.1673542261123657,0.3585555553436279,0.3165366053581238,0.2746355533599853,0.2165185958147049,0.3890056014060974,0.3579146564006805,0.17978531
P5233,0.2375768572092056,0.3657963871955871,0.2928778827190399,0.3501183688640594,0.1932202875614166,0.2103513330221176,0.2093163579702377,0.2905087172985077,0.2478674948215484,0.2369805723428726,0.3422970473766327,0.1584740430116653,0.2786300182342529,0.2421165108680725,0.3352285027503967,0.1767989099025726,0.15894352
