,VIS1,VIS2,MOT1,MOT2,DORATT2,DORATT1,VAN1,FP1,LIM1,LIM2,FP2,FP3,FP4,MOT3,DMN1,DMN3,DMN2
P5259,0.19592610001564026,0.21233868598937988,0.2428036481142044,0.310655415058136,0.25313737988471985,0.20722465217113495,0.2557331919670105,0.3049679398536682,0.19105255603790283,0.3499821126461029,0.3272946774959564,0.4363316297531128,0.22697165608406067,0.1934434324502945,0.17181281745433807,0.23744593560695648,0.26980331540107727
P5232,0.1277727335691452,0.4148988723754883,0.520118772983551,0.2367057502269745,0.24633479118347168,0.27958375215530396,0.16505932807922363,0.16397465765476227,0.20383256673812866,0.5487464666366577,0.19562570750713348,0.3946866989135742,0.19328553974628448,0.17351962625980377,0.1938686966896057,0.4756840169429779,0.2447674721479416
P5235,0.15433503687381744,0.29557090997695923,0.5258851647377014,0.17190854251384735,0.17367790639400482,0.3037357032299042,0.2696065604686737,0.20244044065475464,0.12674546241760254,0.17351827025413513,0.26149749755859375,0.39611053466796875,0.1849590539932251,0.19007575511932373,0.1492401361465454,0.2703538239002228,0.38383495807647705
P5258,0.10389084368944168,0.2728906571865082,0.3761484622955322,0.14667047560214996,0.21337085962295532,0.22579027712345123,0.16044296324253082,0.28368592262268066,0.1981797069311142,0.160363107919693,0.33422932028770447,0.31252166628837585,0.16048821806907654,0.22541743516921997,0.18860328197479248,0.28072991967201233,0.3160632848739624
P52125,0.1733132153749466,0.29503968358039856,0.583053469657898,0.24112850427627563,0.25717851519584656,0.3929557800292969,0.22755153477191925,0.20771782100200653,0.1276652216911316,0.40051892399787903,0.25035881996154785,0.41442906856536865,0.2582506239414215,0.1753607839345932,0.22126784920692444,0.2446020245552063,0.3729558289051056
P5260,0.2325831949710846,0.4169429838657379,0.3271501958370209,0.26395928859710693,0.22522151470184326,0.2609485387802124,0.3466199040412903,0.3033556044101715,0.19570061564445496,0.21769267320632935,0.20065781474113464,0.3908082842826843,0.26139816641807556,0.30837535858154297,0.16704235970973969,0.20519690215587616,0.34235334396362305
P5234,0.25861069560050964,0.25971201062202454,0.2495812326669693,0.23354625701904297,0.30036309361457825,0.31009534001350403,0.2994837462902069,0.3200374245643616,0.2880399227142334,0.30783477425575256,0.2336309403181076,0.44525811076164246,0.2186054140329361,0.2621806859970093,0.17253081500530243,0.311633437871933,0.3670826852321625
P5233,0.11471303552389145,0.23717519640922546,0.4125100076198578,0.11858268082141876,0.21162049472332,0.22207853198051453,0.17274796962738037,0.19845359027385712,0.1321319192647934,0.2894156575202942,0.13475078344345093,0.476106196641922,0.2702118158340454,0.2187621295452118,0.18970827758312225,0.39490649104118347,0.2788681387901306
P5245,0.13873928785324097,0.25870540738105774,0.5791299939155579,0.23780442774295807,0.18122828006744385,0.26010575890541077,0.20088157057762146,0.2496577650308609,0.23263221979141235,0.3084469735622406,0.14343059062957764,0.315085232257843,0.1805826723575592,0.209176167845726,0.19483530521392822,0.26226678490638733,0.22080861032009125
P5244,0.29346364736557007,0.2419271618127823,0.4650673568248749,0.34602171182632446,0.4361713230609894,0.2860977351665497,0.3054538071155548,0.3274257481098175,0.23099134862422943,0.3192789852619171,0.21334241330623627,0.47524136304855347,0.2323867380619049,0.17792794108390808,0.23495176434516907,0.3007723093032837,0.21849766373634338
P5243,0.13581466674804688,0.17526361346244812,0.2741568982601166,0.2227962762117386,0.24509169161319733,0.24240761995315552,0.2291327714920044,0.21975436806678772,0.24834325909614563,0.2340640276670456,0.16643591225147247,0.3573318123817444,0.3134138286113739,0.27839189767837524,0.20223349332809448,0.3798525035381317,0.3413410186767578
P5236,0.20477110147476196,0.37944328784942627,0.18658611178398132,0.25751960277557373,0.3639592230319977,0.1954367309808731,0.21404609084129333,0.37587401270866394,0.2725064158439636,0.2720322608947754,0.2608989179134369,0.4934866428375244,0.19537009298801422,0.16190415620803833,0.22253306210041046,0.39887431263923645,0.26612505316734314
P5231,0.07978576421737671,0.21690993010997772,0.5116108059883118,0.14249908924102783,0.16048625111579895,0.18487824499607086,0.16493558883666992,0.22027337551116943,0.19357968866825104,0.19275081157684326,0.20927254855632782,0.3101518750190735,0.2620301842689514,0.22952058911323547,0.19709227979183197,0.33739718794822693,0.3055831491947174
P5238,0.12470919638872147,0.20861689746379852,0.34515631198883057,0.21018628776073456,0.2374129295349121,0.15822967886924744,0.22464904189109802,0.20074677467346191,0.23945365846157074,0.20009279251098633,0.4550970196723938,0.3494478762149811,0.19517962634563446,0.18306344747543335,0.1588752716779709,0.3274724781513214,0.20090703666210175
P5254,0.12247184664011002,0.19254568219184875,0.3179810345172882,0.1710221916437149,0.1612524837255478,0.24560193717479706,0.26064541935920715,0.23225350677967072,0.21617119014263153,0.4206840991973877,0.25954797863960266,0.4065592586994171,0.21748965978622437,0.24012616276741028,0.16602113842964172,0.3990188241004944,0.4239799380302429
P5253,0.15106071531772614,0.2315455675125122,0.33482998609542847,0.15830816328525543,0.28936079144477844,0.34884709119796753,0.2162027657032013,0.3453746736049652,0.17225733399391174,0.5420522093772888,0.2195378690958023,0.41723114252090454,0.2537982165813446,0.2606957256793976,0.23077821731567383,0.3064862787723541,0.36831435561180115
