,VIS1,VIS2,MOT1,MOT2,DORATT2,DORATT1,VAN1,FP1,LIM1,LIM2,FP2,FP3,FP4,MOT3,DMN1,DMN3,DMN2
P5259,0.10502699762582779,0.22502349317073822,0.532943069934845,0.1372176855802536,0.17660219967365265,0.17574584484100342,0.16702118515968323,0.22779402136802673,0.19910928606987,0.17565375566482544,0.2262629270553589,0.320721298456192,0.275608092546463,0.23247499763965607,0.21829243004322052,0.3518119752407074,0.3302570581436157
P5232,0.1206568256020546,0.25793588161468506,0.33117344975471497,0.1641659438610077,0.17222332954406738,0.15634624660015106,0.1334565430879593,0.210628941655159,0.14703579246997833,0.20719227194786072,0.1568623036146164,0.4366162419319153,0.20215071737766266,0.119367815554142,0.15923556685447693,0.31259021162986755,0.3454837203025818
P5235,0.17336177825927734,0.2586823105812073,0.24172377586364746,0.23679010570049286,0.3147268295288086,0.2829240560531616,0.3072270154953003,0.33039796352386475,0.2944871485233307,0.3191065192222595,0.23815442621707916,0.45701828598976135,0.22454684972763062,0.26509228348731995,0.16113263368606567,0.35343489050865173,0.37641072273254395
P5203,0.1816403567790985,0.19108133018016815,0.30903875827789307,0.14281213283538818,0.263500839471817,0.1344141960144043,0.12791959941387177,0.19059115648269653,0.18107391893863678,0.363052636384964,0.2637866139411926,0.2168717086315155,0.24314577877521515,0.13811250030994415,0.192971333861351,0.22186727821826935,0.16004998981952667
P5258,0.14525742828845978,0.3148447573184967,0.4912944436073303,0.19541649520397186,0.3445062041282654,0.25259578227996826,0.21711139380931854,0.31859472393989563,0.21352218091487885,0.17222240567207336,0.17710082232952118,0.3704674243927002,0.24761006236076355,0.15469303727149963,0.28488147258758545,0.26487770676612854,0.2776670455932617
P52125,0.14148931205272675,0.3209202289581299,0.3379049301147461,0.3599086105823517,0.34934547543525696,0.3386385142803192,0.32728108763694763,0.35190141201019287,0.25875359773635864,0.3319363594055176,0.2332354336977005,0.37068992853164673,0.3317667841911316,0.3070973753929138,0.18144717812538147,0.25536447763442993,0.4231484532356262
P5260,0.146397665143013,0.26994073390960693,0.25393015146255493,0.14731046557426453,0.27424144744873047,0.19862502813339233,0.1674036830663681,0.17597565054893494,0.25561994314193726,0.379100501537323,0.23064959049224854,0.40762296319007874,0.21992036700248718,0.206401064991951,0.18722938001155853,0.3547317385673523,0.3286791741847992
P5205,0.2431263029575348,0.20136123895645142,0.1966187208890915,0.24563758075237274,0.33940884470939636,0.20264719426631927,0.23759691417217255,0.23977051675319672,0.17973992228507996,0.4938496947288513,0.18828502297401428,0.489419549703598,0.25550684332847595,0.29072141647338867,0.20184865593910217,0.4167655408382416,0.3742978870868683
P5234,0.12452415376901627,0.178899347782135,0.28583842515945435,0.215908020734787,0.2615589201450348,0.22400297224521637,0.2276424914598465,0.22774194180965424,0.2580190598964691,0.19070275127887726,0.16735422611236572,0.35855555534362793,0.3165366053581238,0.27463555335998535,0.2165185958147049,0.3890056014060974,0.35791465640068054
P5233,0.1505310982465744,0.23757685720920563,0.36579638719558716,0.2928778827190399,0.35011836886405945,0.19322028756141663,0.21035133302211761,0.20931635797023773,0.2905087172985077,0.24786749482154846,0.23698057234287262,0.3422970473766327,0.15847404301166534,0.27863001823425293,0.2421165108680725,0.33522850275039673,0.17679890990257263
