,VIS1,VIS2,MOT1,MOT2,DORATT2,DORATT1,VAN1,FP1,LIM1,LIM2,FP2,FP3,FP4,MOT3,DMN1,DMN3,DMN2
P5259,0.1869225353002548,0.292740523815155,0.4109502732753753,0.3902843296527862,0.365447998046875,0.2858087718486786,0.2875699996948242,0.3043607771396637,0.2061266452074051,0.199031114578247,0.2673486471176147,0.3197310268878937,0.1720745861530304,0.2054021656513214,0.2194884270429611,0.2418038249015808,0.2885958552360534
P5232,0.2214415371417999,0.2547142803668976,0.3310208916664123,0.2336282134056091,0.2827851474285126,0.1773430407047271,0.2022428661584854,0.2649107575416565,0.1805448830127716,0.2780284583568573,0.3092794418334961,0.3193760216236114,0.1923570483922958,0.2120240777730941,0.1961574703454971,0.408480554819107,0.2363876551389694
P5235,0.1745887100696563,0.2803607881069183,0.5555627346038818,0.2087477892637252,0.2277134656906128,0.2370800971984863,0.2497688382863998,0.2047150284051895,0.1581723392009735,0.3469034433364868,0.2044460773468017,0.5054570436477661,0.1967334449291229,0.22006256878376,0.1856673657894134,0.2263481169939041,0.3834856450557709
P5203,0.2038749158382415,0.3484163284301758,0.3465828001499176,0.3383783102035522,0.2608679533004761,0.22589673101902,0.2900643646717071,0.3383320569992065,0.247021734714508,0.3552633821964264,0.2032815068960189,0.5098521709442139,0.2416229248046875,0.21460522711277,0.2156655937433242,0.4268573820590973,0.319498747587204
P5258,0.0913563072681427,0.405449241399765,0.5233973860740662,0.2853509485721588,0.2921200096607208,0.2540243566036224,0.1956315636634826,0.3645718991756439,0.2150656729936599,0.2309823483228683,0.177691638469696,0.3959637582302093,0.2153746783733368,0.2208105325698852,0.1946794241666793,0.3970765471458435,0.3697419464588165
P52125,0.1629307568073272,0.3359139859676361,0.4329795241355896,0.3709301948547363,0.309372216463089,0.2516680955886841,0.2923099994659424,0.2334326803684234,0.2327057719230651,0.2698570787906647,0.1968417465686798,0.3940886259078979,0.2556586563587188,0.1998262256383896,0.1753260046243667,0.2313588261604309,0.2564877867698669
P5260,0.1155215576291084,0.3068363666534424,0.4961090683937073,0.3959654867649078,0.4514867663383484,0.2185630947351455,0.2398927807807922,0.3227753043174743,0.1609117239713668,0.2443904280662536,0.1707157641649246,0.3974449336528778,0.2711951434612274,0.2869266271591186,0.2243053913116455,0.2710162103176117,0.3473095893859863
P5205,0.1033337488770484,0.2932401001453399,0.514823853969574,0.1737502068281173,0.2183380126953125,0.2494886070489883,0.1680461466312408,0.2273448854684829,0.2091861367225647,0.2520607411861419,0.2154725342988968,0.3730827867984772,0.2471810728311538,0.221776857972145,0.1899269074201584,0.2850014567375183,0.2186204046010971
P5234,0.3315005302429199,0.4360035359859466,0.421097069978714,0.3614734411239624,0.433026909828186,0.3033072352409363,0.3502082526683807,0.2651754021644592,0.2333471179008484,0.1965904682874679,0.2376968115568161,0.3747987449169159,0.2033560574054718,0.269963264465332,0.4102062880992889,0.3399466872215271,0.2377886921167373
P5233,0.1644836664199829,0.2507664859294891,0.2923323810100555,0.417791336774826,0.3502045571804046,0.2346488088369369,0.3205437958240509,0.3897856473922729,0.3513393998146057,0.3424064218997955,0.2381821423768997,0.3493818640708923,0.250034362077713,0.2049127072095871,0.2548059225082397,0.3405093848705292,0.3459889590740204
P5211,0.2113062590360641,0.3447057604789734,0.6143065094947815,0.5457040667533875,0.5183981657028198,0.19448883831501,0.3012542724609375,0.3433769345283508,0.1814900785684585,0.2047965079545974,0.1694697886705398,0.5185343027114868,0.181097075343132,0.2779131233692169,0.2986362278461456,0.3464657962322235,0.393677145242691
P5229,0.2586756348609924,0.4681296646595001,0.5207265019416809,0.2783835828304291,0.2733467221260071,0.2377894222736358,0.2231927812099456,0.2058767229318618,0.1902741938829422,0.6638083457946777,0.1932427883148193,0.3336707949638366,0.1261118352413177,0.1631964594125747,0.3442778289318084,0.5028791427612305,0.2910090386867523
P5216,0.1713255941867828,0.2615364193916321,0.3097712695598602,0.2594486773014068,0.278933435678482,0.1759374141693115,0.1699695587158203,0.2459913939237594,0.221424862742424,0.2172858268022537,0.2311322689056396,0.2890706956386566,0.1343478709459304,0.1635434180498123,0.1565626561641693,0.1863408237695694,0.1850922852754593
P5220,0.1485916823148727,0.1566030234098434,0.3538045287132263,0.3466373085975647,0.4565477967262268,0.1923148036003112,0.2183454185724258,0.3089346587657928,0.1603953093290329,0.3619751930236816,0.3461354672908783,0.3787379264831543,0.1576149761676788,0.1637589782476425,0.2198764979839325,0.3061266839504242,0.2101589143276214
P5218,0.2116575390100479,0.3037489354610443,0.3787485063076019,0.3351221680641174,0.3274296224117279,0.1988202035427093,0.2583988308906555,0.2035864442586898,0.2297610342502594,0.2017305791378021,0.2047854959964752,0.5316668152809143,0.18410424888134,0.2056897282600402,0.2661761343479156,0.3380903303623199,0.2262088358402252
P5227,0.1800495684146881,0.2862628996372223,0.4002833068370819,0.2578089237213135,0.2769351005554199,0.2311249673366546,0.2874335348606109,0.2685119807720184,0.1634221225976944,0.5384492874145508,0.1505413055419922,0.4777980446815491,0.2026170939207077,0.1839608699083328,0.2447121888399124,0.2701448798179626,0.3448103368282318
P5245,0.1900797635316848,0.2794585525989532,0.3752145171165466,0.2232930213212967,0.3080820441246032,0.2264186441898346,0.2017920166254043,0.2015688866376876,0.243614062666893,0.3659021854400635,0.3338668346405029,0.4113143980503082,0.2101054787635803,0.1892572492361068,0.2114033848047256,0.3670200705528259,0.2553794980049133
P5228,0.2031363993883133,0.2495891600847244,0.4888119101524353,0.2968865036964416,0.2820435464382171,0.1707161217927932,0.2150779217481613,0.1970808058977127,0.1863878965377807,0.2315437346696853,0.2471739947795868,0.4247311353683471,0.2085092216730117,0.163452535867691,0.2293591052293777,0.2680148184299469,0.2060586363077163
P5210,0.1559522002935409,0.3313161730766296,0.4327814877033233,0.3001829087734222,0.3001707196235657,0.1982674449682235,0.1926534324884414,0.295024573802948,0.2036433666944503,0.3018473088741302,0.2858705520629883,0.3185677826404571,0.317617654800415,0.1712313741445541,0.1977976113557815,0.3106489479541778,0.3379422426223755
